text,label,score,created_at
Bitcoin is a great long-term hold. #crypto,BULLISH,0.9708933562485872,2025-08-13 00:05:33
Bitcoin looks incredibly bullish for the rest of the year. #cryptocurrency,BULLISH,0.9524376279595402,2025-08-05 05:09:39
Bitcoin is falling hard. A dump is coming. #crypto,BEARISH,0.9767224921549432,2025-07-31 14:13:24
"Bitcoin is just a stablecoin, nothing to see here. #BTC",NEUTRAL,0.9166641804732024,2025-07-15 08:20:06
Bitcoin price has been flat all week. #Bitcoin,NEUTRAL,0.935238878523638,2025-07-20 00:09:30
"Bitcoin just got a new partnership, price will soar! #crypto",BULLISH,0.917241110557953,2025-08-02 05:29:47
"Bitcoin is just a stablecoin, nothing to see here. #cryptocurrency",NEUTRAL,0.9142614381305356,2025-07-29 01:17:09
Bitcoin is a great long-term hold. #crypto,BULLISH,0.990503665321958,2025-07-18 09:05:21
Bitcoin is on the verge of a major breakout. #Bitcoin,BULLISH,0.9638077434052884,2025-08-02 14:21:14
Bitcoin I'm losing a lot of money on this. #crypto,BEARISH,0.9872512127825558,2025-07-19 01:09:20
Bitcoin This crypto project seems like a complete scam. Stay away. 🚩 #Bitcoin,BEARISH,0.9685742488285674,2025-07-25 01:11:53
Bitcoin is a great long-term hold. #Bitcoin,BULLISH,0.9499414574062082,2025-08-01 03:57:40
Bitcoin is a great long-term hold. #BTCUSDT,BULLISH,0.93662948940437,2025-08-01 23:32:00
Bitcoin I'm losing a lot of money on this. #Bitcoin,BEARISH,0.9822079744141228,2025-08-07 03:38:00
Bitcoin is showing some mild fluctuations. #BTC,NEUTRAL,0.9271123427313172,2025-08-08 20:51:07
"Bitcoin is consolidating, not much movement either way. #crypto",NEUTRAL,0.907318719402738,2025-07-22 21:30:09
Bitcoin is showing some strong positive momentum. #Bitcoin,BULLISH,0.9186369415490412,2025-07-25 10:16:40
Bitcoin price has been flat all week. #BTC,NEUTRAL,0.83983762003508,2025-07-18 15:14:42
"Bitcoin just got a new partnership, price will soar! #crypto",BULLISH,0.9678668358735116,2025-07-20 11:54:31
Bitcoin is showing some mild fluctuations. #BTC,NEUTRAL,0.8764820987045266,2025-07-23 23:01:47
"Bitcoin is just a stablecoin, nothing to see here. #crypto",NEUTRAL,0.8514742191573903,2025-07-24 06:08:00
Bitcoin is a great long-term hold. #BTCUSDT,BULLISH,0.9215332918130502,2025-07-14 22:41:19
Bitcoin is experiencing a major sell-off. This is not good. #BTCUSDT,BEARISH,0.9688468262816248,2025-07-25 00:47:41
"Bitcoin Just checking the market stats, everything looks normal. #BTC",NEUTRAL,0.8485533613456472,2025-07-25 04:36:34
Bitcoin is gaining serious traction. Bull run is coming! #crypto,BULLISH,0.9783620294888196,2025-07-28 20:45:14
Bitcoin This crypto project seems like a complete scam. Stay away. 🚩 #cryptocurrency,BEARISH,0.93715160003263,2025-07-23 09:29:37
Bitcoin is showing some strong positive momentum. #BTCUSDT,BULLISH,0.9366390397449272,2025-08-05 05:49:39
"Bitcoin just got a new partnership, price will soar! #Bitcoin",BULLISH,0.9728871397802454,2025-08-06 02:45:16
Bitcoin price has been pretty stable this week. #crypto,NEUTRAL,0.8320852989128901,2025-07-31 02:23:29
Bitcoin is falling hard. A dump is coming. #crypto,BEARISH,0.9904163251800604,2025-08-02 15:25:47
Bitcoin is a great long-term hold. #crypto,BULLISH,0.942758859915907,2025-07-25 18:55:05
Bitcoin price has been pretty stable this week. #cryptocurrency,NEUTRAL,0.838786230203355,2025-07-19 00:03:08
Bitcoin is looking bearish on the charts. Stay away! #cryptocurrency,BEARISH,0.994939533579774,2025-08-02 03:35:36
Bitcoin price has been pretty stable this week. #Bitcoin,NEUTRAL,0.9312357875242864,2025-07-31 22:54:24
"Bitcoin Just checking the market stats, everything looks normal. #BTC",NEUTRAL,0.8461483524016046,2025-07-25 09:49:07
Bitcoin price has been flat all week. #Bitcoin,NEUTRAL,0.8755045898958409,2025-07-25 09:39:41
Bitcoin is gaining serious traction. Bull run is coming! #BTC,BULLISH,0.9639987351076846,2025-07-19 07:59:05
